coverage,accuracy_shifted
0.2901,1.0000
0.2906,1.0000
0.2911,1.0000
0.2917,1.0000
0.2922,1.0000
0.2927,1.0000
0.2932,1.0000
0.2938,1.0000
0.2943,1.0000
0.2948,1.0000
0.2954,1.0000
0.2959,1.0000
0.2964,1.0000
0.2969,1.0000
0.2975,1.0000
0.2980,1.0000
0.2985,1.0000
0.2991,1.0000
0.2996,1.0000
0.3001,1.0000
0.3006,1.0000
0.3012,1.0000
0.3017,1.0000
0.3022,1.0000
0.3027,1.0000
0.3033,1.0000
0.3038,1.0000
0.3043,1.0000
0.3049,1.0000
0.3054,1.0000
0.3059,0.9983
0.3064,0.9983
0.3070,0.9983
0.3075,0.9983
0.3080,0.9983
0.3085,0.9983
0.3091,0.9983
0.3096,0.9983
0.3101,0.9983
0.3107,0.9983
0.3112,0.9983
0.3117,0.9983
0.3122,0.9983
0.3128,0.9983
0.3133,0.9983
0.3138,0.9983
0.3143,0.9983
0.3149,0.9983
0.3154,0.9983
0.3159,0.9983
0.3165,0.9983
0.3170,0.9983
0.3175,0.9983
0.3180,0.9983
0.3186,0.9983
0.3191,0.9983
0.3196,0.9983
0.3201,0.9984
0.3207,0.9984
0.3212,0.9984
0.3217,0.9984
0.3223,0.9984
0.3228,0.9984
0.3233,0.9984
0.3238,0.9984
0.3244,0.9984
0.3249,0.9984
0.3254,0.9984
0.3259,0.9984
0.3265,0.9984
0.3270,0.9984
0.3275,0.9984
0.3281,0.9984
0.3286,0.9984
0.3291,0.9984
0.3296,0.9984
0.3302,0.9984
0.3307,0.9984
0.3312,0.9984
0.3318,0.9984
0.3323,0.9984
0.3328,0.9984
0.3333,0.9984
0.3339,0.9984
0.3344,0.9984
0.3349,0.9984
0.3354,0.9984
0.3360,0.9984
0.3365,0.9984
0.3370,0.9969
0.3376,0.9969
0.3381,0.9969
0.3386,0.9969
0.3391,0.9969
0.3397,0.9969
0.3402,0.9969
0.3407,0.9969
0.3412,0.9969
0.3418,0.9969
0.3423,0.9969
0.3428,0.9969
0.3434,0.9969
0.3439,0.9969
0.3444,0.9969
0.3449,0.9969
0.3455,0.9969
0.3460,0.9970
0.3465,0.9970
0.3470,0.9970
0.3476,0.9970
0.3481,0.9970
0.3486,0.9970
0.3492,0.9970
0.3497,0.9955
0.3502,0.9955
0.3507,0.9955
0.3513,0.9955
0.3518,0.9955
0.3523,0.9955
0.3528,0.9955
0.3534,0.9955
0.3539,0.9955
0.3544,0.9955
0.3550,0.9955
0.3555,0.9955
0.3560,0.9956
0.3565,0.9956
0.3571,0.9956
0.3576,0.9956
0.3581,0.9956
0.3586,0.9956
0.3592,0.9956
0.3597,0.9956
0.3602,0.9956
0.3608,0.9956
0.3613,0.9956
0.3618,0.9956
0.3623,0.9956
0.3629,0.9956
0.3634,0.9956
0.3639,0.9957
0.3645,0.9957
0.3650,0.9957
0.3655,0.9957
0.3660,0.9957
0.3666,0.9957
0.3671,0.9957
0.3676,0.9957
0.3681,0.9957
0.3687,0.9957
0.3692,0.9957
0.3697,0.9957
0.3703,0.9957
0.3708,0.9957
0.3713,0.9957
0.3718,0.9957
0.3724,0.9958
0.3729,0.9958
0.3734,0.9958
0.3739,0.9958
0.3745,0.9958
0.3750,0.9958
0.3755,0.9958
0.3761,0.9958
0.3766,0.9958
0.3771,0.9958
0.3776,0.9958
0.3782,0.9958
0.3787,0.9958
